Date,Adj Close SPY
7/9/2003,93.71
7/10/2003,92.52
7/11/2003,93.39
7/14/2003,93.85
7/15/2003,93.64
7/16/2003,93.09
7/17/2003,91.77
7/18/2003,92.71
7/21/2003,91.57
7/22/2003,92.4
7/23/2003,92.46
7/24/2003,91.76
7/25/2003,93.38
7/28/2003,93.04
7/29/2003,92.61
7/30/2003,92.39
7/31/2003,92.6
8/1/2003,91.78
8/4/2003,91.78
8/5/2003,89.83
8/6/2003,90.36
8/7/2003,91.31
8/8/2003,91.57
8/11/2003,91.91
8/12/2003,92.75
8/13/2003,92.27
8/14/2003,92.53
8/15/2003,92.81
8/18/2003,93.62
8/19/2003,93.97
8/20/2003,93.59
8/21/2003,93.89
8/22/2003,92.95
8/25/2003,93.1
8/26/2003,93.27
8/27/2003,93.3
8/28/2003,93.88
8/29/2003,94.51
9/2/2003,95.78
9/3/2003,96.3
9/4/2003,96.35
9/5/2003,95.81
9/8/2003,96.6
9/9/2003,95.96
9/10/2003,94.99
9/11/2003,95.27
9/12/2003,95.45
9/15/2003,95.12
9/16/2003,96.5
9/17/2003,96.32
9/18/2003,97.45
9/19/2003,96.96
9/22/2003,95.91
9/23/2003,96.28
9/24/2003,94.56
9/25/2003,93.79
9/26/2003,93.48
9/29/2003,94.4
9/30/2003,93.48
10/1/2003,95.47
10/2/2003,95.82
10/3/2003,96.7
10/6/2003,97.14
10/7/2003,97.51
10/8/2003,97.27
10/9/2003,97.53
10/10/2003,97.8
10/13/2003,98.11
10/14/2003,98.46
10/15/2003,98.19
10/16/2003,98.59
10/17/2003,97.51
10/20/2003,98.24
10/21/2003,98.07
10/22/2003,96.84
10/23/2003,96.66
10/24/2003,96.87
10/27/2003,96.92
10/28/2003,98.24
10/29/2003,98.37
10/30/2003,98.58
10/31/2003,98.48
11/3/2003,99.13
11/4/2003,98.91
11/5/2003,98.99
11/6/2003,99.51
11/7/2003,98.77
11/10/2003,98.37
11/11/2003,98.34
11/12/2003,99.45
11/13/2003,99.47
11/14/2003,98.63
11/17/2003,98.14
11/18/2003,97.12
11/19/2003,97.94
11/20/2003,97.06
11/21/2003,97.46
11/24/2003,98.75
11/25/2003,99.13
11/26/2003,99.48
11/28/2003,99.56
12/1/2003,100.63
12/2/2003,100.38
12/3/2003,100.22
12/4/2003,100.63
12/5/2003,99.93
12/8/2003,100.61
12/9/2003,99.83
12/10/2003,99.82
12/11/2003,100.94
12/12/2003,101.14
12/15/2003,100.63
12/16/2003,101.16
12/17/2003,101.48
12/18/2003,102.62
12/19/2003,102.33
12/22/2003,103.05
12/23/2003,103.11
12/24/2003,103.01
12/26/2003,103.08
12/29/2003,104.46
12/30/2003,104.47
12/31/2003,104.57
1/2/2004,104.52
1/5/2004,105.66
1/6/2004,105.76
1/7/2004,106.12
1/8/2004,106.54
1/9/2004,105.61
1/12/2004,106.39
1/13/2004,105.77
1/14/2004,106.65
1/15/2004,106.92
1/16/2004,107.34
1/20/2004,107.31
1/21/2004,108.16
1/22/2004,107.88
1/23/2004,107.53
1/26/2004,108.88
1/27/2004,107.76
1/28/2004,106.53
1/29/2004,106.64
1/30/2004,106.64
2/2/2004,107.1
2/3/2004,106.92
2/4/2004,106.04
2/5/2004,106.35
2/6/2004,107.55
2/9/2004,107.58
2/10/2004,107.92
2/11/2004,109.07
2/12/2004,108.67
2/13/2004,108.19
2/17/2004,109.16
2/18/2004,108.68
2/19/2004,108.28
2/20/2004,107.95
2/23/2004,107.68
2/24/2004,107.49
2/25/2004,107.94
2/26/2004,108.01
2/27/2004,108.08
3/1/2004,109.15
3/2/2004,108.51
3/3/2004,108.71
3/4/2004,108.99
3/5/2004,109.36
3/8/2004,108.03
3/9/2004,107.59
3/10/2004,105.79
3/11/2004,104.42
3/12/2004,105.79
3/15/2004,104.49
3/16/2004,105.05
3/17/2004,106.22
3/18/2004,106.25
3/19/2004,104.73
3/22/2004,103.4
3/23/2004,103.22
3/24/2004,103.3
3/25/2004,104.67
3/26/2004,104.7
3/29/2004,106.17
3/30/2004,106.53
3/31/2004,106.65
4/1/2004,107.29
4/2/2004,108.1
4/5/2004,108.7
4/6/2004,108.35
4/7/2004,108.09
4/8/2004,107.85
4/12/2004,108.27
4/13/2004,106.75
4/14/2004,106.92
4/15/2004,106.52
4/16/2004,107.34
4/19/2004,107.34
4/20/2004,105.54
4/21/2004,106.25
4/22/2004,107.74
4/23/2004,107.84
4/26/2004,107.69
4/27/2004,107.78
4/28/2004,106.39
4/29/2004,105.45
4/30/2004,104.63
5/3/2004,105.76
5/4/2004,105.67
5/5/2004,106.35
5/6/2004,105.43
5/7/2004,103.69
5/10/2004,102.62
5/11/2004,103.49
5/12/2004,104.15
5/13/2004,103.72
5/14/2004,103.77
5/17/2004,102.88
5/18/2004,103.4
5/19/2004,103.04
5/20/2004,103.37
5/21/2004,103.55
5/24/2004,103.98
5/25/2004,105.47
5/26/2004,105.84
5/27/2004,106.43
5/28/2004,106.42
6/1/2004,106.28
6/2/2004,106.68
6/3/2004,105.7
6/4/2004,106.54
6/7/2004,108.16
6/8/2004,108.31
6/9/2004,107.3
6/10/2004,107.83
6/14/2004,106.76
6/15/2004,107.52
6/16/2004,107.5
6/17/2004,107.34
6/18/2004,107.54
6/21/2004,107.13
6/22/2004,107.67
6/23/2004,108.6
6/24/2004,108.26
